# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.0466 0.4933
0 0.0534 0.0466 0.4948
0 0.1834 0.0466 0.4948
0 0.2023 0.0466 0.4979
0 0.2221 0.0466 0.5116
0 0.2439 0.0466 0.5270
0 0.2613 0.0512 0.5407
0 0.2624 0.0558 0.5484
0 0.2859 0.0634 0.5637
0 0.2870 0.0680 0.5714
0 0.3110 0.0787 0.5852
0 0.3121 0.0879 0.5928
0 0.3356 0.0956 0.6020
0 0.3528 0.1048 0.6097
0 0.3539 0.1094 0.6143
0 0.3768 0.1186 0.6204
0 0.3940 0.1262 0.6265
0 0.3951 0.1293 0.6281
0 0.4190 0.1369 0.6342
0 0.4202 0.1415 0.6357
0 0.4438 0.1523 0.6434
0 0.4611 0.1661 0.6495
0 0.4622 0.1737 0.6541
0 0.4879 0.2089 0.6648
0 0.5113 0.2426 0.6710
0 0.5124 0.2610 0.6740
0 0.5365 0.3009 0.6756
0 0.5375 0.3223 0.6756
0 0.5612 0.3606 0.6756
0 0.5623 0.3790 0.6756
0 0.5862 0.4112 0.6664
0 0.5873 0.4265 0.6572
0 0.6111 0.4540 0.6373
0 0.6123 0.4663 0.6281
0 0.6365 0.4893 0.6051
0 0.6376 0.5000 0.5928
0 0.6613 0.5184 0.5653
0 0.6624 0.5291 0.5453
0 0.6860 0.5383 0.5239
0 0.6871 0.5429 0.5101
0 0.7109 0.5521 0.4733
0 0.7120 0.5567 0.4519
0 0.7366 0.5613 0.4090
0 0.7377 0.5628 0.3814
0 0.7604 0.5643 0.3248
0 0.7785 0.5643 0.2834
0 0.7796 0.5597 0.2635
0 0.8024 0.5460 0.2252
0 0.8035 0.5368 0.2099
0 0.8281 0.5169 0.1838
0 0.8292 0.5000 0.1700
0 0.8528 0.4862 0.1593
0 0.8539 0.4755 0.1547
0 0.8777 0.4602 0.1486
0 0.8789 0.4525 0.1455
0 0.9028 0.4403 0.1409
0 0.9040 0.4372 0.1394
0 0.9277 0.4341 0.1379
0 0.9289 0.4341 0.1379
0 0.9524 0.4341 0.1363
0 0.9536 0.4341 0.1348
0 0.9772 0.4341 0.1333
0 0.9952 0.4403 0.1287
0 0.9963 0.4464 0.1241
0 1.0187 0.4801 0.1011
0 1.0362 0.5046 0.0873
0 1.0373 0.5214 0.0797
0 1.0603 0.5643 0.0597
0 1.0780 0.6363 0.0383
0 1.0791 0.6624 0.0337
0 1.1025 0.7129 0.0306
0 1.1036 0.7543 0.0291
0 1.1279 0.8186 0.0291
0 1.1291 0.8416 0.0306
0 1.1531 0.8983 0.0398
0 1.1542 0.9228 0.0444
0 1.1777 0.9718 0.0551
0 1.1788 0.9856 0.0582
0 1.2028 1.0101 0.0643
0 1.2039 1.0193 0.0674
0 1.2275 1.0316 0.0705
0 1.2286 1.0362 0.0705
0 1.2529 1.0392 0.0720
0 1.2540 1.0407 0.0720
0 1.2780 1.0407 0.0735
0 1.2791 1.0407 0.0735
0 1.3027 1.0377 0.0812
0 1.3039 1.0270 0.0950
