# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.0741 0.7767
0 0.2916 0.0741 0.7767
0 0.3280 0.0864 0.7767
0 0.3296 0.0910 0.7767
0 0.3599 0.1124 0.7767
0 0.3796 0.1400 0.7767
0 0.4032 0.1584 0.7782
0 0.4044 0.1676 0.7797
0 0.4280 0.1890 0.7812
0 0.4295 0.1967 0.7828
0 0.4520 0.2181 0.7858
0 0.4696 0.2350 0.7874
0 0.4707 0.2457 0.7889
0 0.4943 0.2672 0.7920
0 0.4958 0.2763 0.7920
0 0.5189 0.2932 0.7950
0 0.5207 0.3009 0.7966
0 0.5441 0.3177 0.7981
0 0.5459 0.3269 0.7996
0 0.5692 0.3407 0.8012
0 0.5706 0.3483 0.8012
0 0.5944 0.3621 0.8027
0 0.5955 0.3698 0.8027
0 0.6183 0.3836 0.8058
0 0.6358 0.3989 0.8058
0 0.6380 0.4050 0.8073
0 0.6606 0.4219 0.8088
0 0.6625 0.4295 0.8104
0 0.6857 0.4449 0.8119
0 0.6873 0.4540 0.8119
0 0.7126 0.4831 0.8150
0 0.7372 0.5046 0.8180
0 0.7384 0.5138 0.8180
0 0.7640 0.5429 0.8211
0 0.7863 0.5720 0.8241
0 0.7874 0.5781 0.8241
0 0.8113 0.5934 0.8257
0 0.8126 0.6026 0.8272
0 0.8391 0.6271 0.8287
0 0.8617 0.6409 0.8303
0 0.8629 0.6471 0.8318
0 0.8873 0.6563 0.8318
0 0.8889 0.6608 0.8333
0 0.9114 0.6700 0.8333
0 0.9126 0.6746 0.8349
0 0.9359 0.6838 0.8364
0 0.9373 0.6900 0.8364
0 0.9606 0.7053 0.8379
0 0.9632 0.7160 0.8410
0 0.9854 0.7252 0.8410
0 1.0039 0.7405 0.8425
0 1.0051 0.7497 0.8441
0 1.0275 0.7711 0.8456
0 1.0290 0.7788 0.8456
0 1.0524 0.7987 0.8471
0 1.0540 0.8079 0.8471
0 1.0779 0.8232 0.8471
0 1.0791 0.8294 0.8471
0 1.1027 0.8416 0.8471
0 1.1041 0.8477 0.8471
0 1.1270 0.8554 0.8471
0 1.1449 0.8615 0.8471
0 1.1460 0.8631 0.8471
0 1.1695 0.8646 0.8471
0 1.1941 0.8646 0.8487
0 1.1957 0.8646 0.8517
1 0.0000 0.8753 0.7031
1 0.1786 0.8753 0.7031
1 0.2055 0.8631 0.7031
1 0.2271 0.8416 0.7031
1 0.2505 0.8171 0.7031
1 0.2518 0.8033 0.7031
1 0.2751 0.7711 0.7031
1 0.2764 0.7558 0.7031
1 0.3003 0.7252 0.7016
1 0.3015 0.7114 0.7016
1 0.3248 0.6854 0.6985
1 0.3260 0.6731 0.6955
1 0.3496 0.6517 0.6924
1 0.3512 0.6409 0.6909
1 0.3747 0.6164 0.6863
1 0.3766 0.6072 0.6847
1 0.3998 0.5858 0.6801
1 0.4010 0.5735 0.6786
1 0.4256 0.5460 0.6740
1 0.4268 0.5337 0.6725
1 0.4497 0.5107 0.6679
1 0.4510 0.4985 0.6664
1 0.4747 0.4740 0.6633
1 0.4760 0.4617 0.6618
1 0.5000 0.4357 0.6587
1 0.5012 0.4234 0.6556
1 0.5251 0.4050 0.6541
1 0.5262 0.3912 0.6526
1 0.5499 0.3637 0.6480
1 0.5512 0.3591 0.6480
1 0.5742 0.3407 0.6464
1 0.5929 0.3208 0.6449
1 0.5945 0.3085 0.6449
1 0.6170 0.2886 0.6419
1 0.6182 0.2779 0.6419
1 0.6417 0.2580 0.6403
1 0.6430 0.2488 0.6403
1 0.6666 0.2319 0.6388
1 0.6684 0.2212 0.6388
1 0.6913 0.2028 0.6388
1 0.6930 0.1952 0.6388
1 0.7163 0.1768 0.6373
1 0.7178 0.1661 0.6373
1 0.7418 0.1507 0.6357
1 0.7430 0.1415 0.6357
1 0.7664 0.1293 0.6342
1 0.7676 0.1201 0.6342
1 0.7914 0.1032 0.6327
1 0.7926 0.0956 0.6327
1 0.8160 0.0833 0.6327
1 0.8179 0.0787 0.6327
1 0.8413 0.0695 0.6327
1 0.8426 0.0665 0.6327
1 0.8664 0.0619 0.6327
1 0.8677 0.0604 0.6327
1 0.8913 0.0573 0.6327
1 0.8938 0.0573 0.6327
1 0.9166 0.0558 0.6342
1 0.9189 0.0558 0.6342
1 0.9417 0.0558 0.6342
1 0.9430 0.0542 0.6357
1 0.9663 0.0542 0.6357
1 0.9675 0.0542 0.6357
1 1.0187 0.0558 0.6373
